student_id,student_first_name,student_last_name,student_gender,student_geo_latitude,student_geo_longitude,student_travel_time_minutes,student_travel_distance_km,student_future_school_id,student_class_id
1,Marek,Wujek,M,52.008,20.606,23,29.29,3,1
2,Damian,Tórz,M,52.211,20.817,25,9.72,11,1
3,Marika,Dziadowicz,F,51.991,20.931,27,13.91,1,1
4,Blanka,Tlałka,F,52.29,20.826,33,13.21,18,1
5,Andrzej,Grzejszczak,M,52.253,21.007,24,2.98,17,1
6,Karol,Stanisławczyk,M,52.169,21.137,21,8.39,6,1
7,Eryk,Skocz,M,52.131,20.901,30,8.39,14,1
8,Eliza,Klaus,F,52.186,20.77,23,12.22,1,1
9,Hubert,Huczek,M,52.284,20.804,31,13.98,9,1
10,Sandra,Szrama,F,51.951,21.263,37,25.58,8,1
11,Artur,Engler,M,52.206,20.588,27,20.92,5,1
12,Tadeusz,Siewert,M,52.222,20.896,27,6.31,14,1
13,Krzysztof,Puto,M,52.338,21.042,23,8.99,7,1
14,Stefan,Przeniosło,M,52.081,21.137,29,12.82,4,1
15,Roksana,Cegła,F,52.084,21.291,20,20.34,13,1
16,Bianka,Kurant,F,52.349,21.245,23,19.7,19,1
17,Cyprian,Burzec,M,52.188,21.192,29,10.2,1,1
18,Dorota,Duszkiewicz,F,52.174,20.88,35,7.29,10,1
19,Rozalia,Szymków,F,52.319,21.23,28,17.47,6,1
20,Kamil,Dawidczyk,M,52.219,21.099,30,5.92,20,1
21,Kamil,Milcarz,M,52.286,21.02,31,5.29,12,1
22,Marcelina,Szymonik,F,52.294,20.81,29,14.2,19,1
23,Konrad,Rykała,M,52.182,21.0,28,0.91,19,1
24,Gustaw,Banek,M,52.213,21.185,26,9.91,1,1
25,Jędrzej,Lada,M,52.076,21.394,37,25.9,19,1
26,Bianka,Cogiel,F,52.399,21.354,40,27.62,19,1
27,Tobiasz,Kościołek,M,51.965,21.01,32,12.23,19,1
28,Sara,Stępka,F,52.258,21.316,30,18.71,6,1
29,Aleks,Oskroba,M,52.309,21.092,27,10.07,12,1
30,Marek,Narożna,M,52.171,20.795,33,11.69,20,1
31,Patryk,Jerzyk,M,52.124,21.254,37,16.49,8,2
32,Anastazja,Korbel,F,52.291,21.13,22,11.07,18,2
33,Karina,Marat,F,52.244,21.048,34,4.62,8,2
34,Dorota,Maciejko,F,52.297,21.035,37,6.62,2,2
35,Wiktor,Cyrulik,M,52.093,20.882,38,11.24,5,2
36,Dagmara,Szymula,F,52.169,21.015,37,2.3,4,2
37,Rozalia,Sadlik,F,52.056,20.957,33,9.34,4,2
38,Maurycy,Domżał,M,52.242,20.642,32,19.97,8,2
39,Fryderyk,Minta,M,52.1,21.084,40,9.22,7,2
40,Robert,Lukas,M,52.097,20.756,29,17.35,15,2
41,Anita,Grabias,F,52.188,20.728,21,14.2,2,2
42,Aniela,Strzelczak,F,51.977,21.004,33,11.36,14,2
43,Malwina,Kopyt,F,52.163,20.858,39,8.96,3,2
44,Justyna,Szczepan,F,52.253,20.713,30,16.97,14,2
45,Franciszek,Daniec,M,52.237,21.004,20,2.05,4,2
46,Dawid,Czajor,M,52.229,20.807,30,11.11,5,2
47,Gabriel,Bracha,M,52.24,20.867,32,8.63,2,2
48,Leon,Franaszek,M,52.136,20.956,26,5.41,20,2
49,Krzysztof,Kala,M,52.23,20.877,26,7.64,9,2
50,Ewa,Bartela,F,52.133,20.895,22,8.6,19,2
51,Janina,Malara,F,52.274,20.648,26,21.31,5,2
52,Alan,Mila,M,52.134,20.973,35,4.65,16,2
53,Borys,Maciejuk,M,52.116,20.956,21,6.4,12,2
54,Jan,Siara,M,52.074,20.919,21,10.35,20,2
55,Monika,Gosek,F,52.243,21.15,23,9.66,9,2
56,Tymon,Solarek,M,51.992,21.124,24,16.63,6,2
57,Olaf,Ciemięga,M,52.266,21.35,23,20.82,7,2
58,Piotr,Grzeszkowiak,M,52.079,21.084,34,10.23,10,2
59,Błażej,Kuropatwa,M,52.094,21.012,40,5.91,19,2
60,Piotr,Sip,M,52.114,20.918,32,8.43,13,2
61,Grzegorz,Buza,M,52.3,21.145,27,12.25,7,3
62,Krystian,Klaus,M,52.111,21.04,26,6.47,19,3
63,Aleks,Dryka,M,52.223,21.161,22,9.22,20,3
64,Piotr,Składanek,M,52.279,20.928,32,7.56,16,3
65,Krystian,Głowienka,M,52.249,20.612,35,21.82,10,3
66,Grzegorz,Pasiut,M,52.272,21.219,25,14.54,5,3
67,Paweł,Pałgan,M,52.101,20.727,37,18.58,13,3
68,Kazimierz,Borkiewicz,M,52.12,20.859,20,11.06,8,3
69,Cyprian,Łuszczyk,M,52.315,20.945,32,8.5,13,3
70,Justyna,Satora,F,52.456,21.31,35,28.28,12,3
71,Wojciech,Mordak,M,52.336,21.089,39,11.27,3,3
72,Fryderyk,Łuczyk,M,52.353,21.231,24,19.18,7,3
73,Alex,Jarmuła,M,52.128,20.97,28,5.08,5,3
74,Stefan,Bawoł,M,52.089,21.042,28,7.64,18,3
75,Jędrzej,Sornat,M,52.286,20.828,31,12.89,20,3
76,Dorota,Mętel,F,52.187,20.897,28,5.83,8,3
77,Ada,Wojtera,F,51.97,21.132,30,18.1,14,3
78,Ewelina,Powierża,F,52.102,20.871,30,11.36,14,3
79,Daniel,Kurzaj,M,52.351,20.842,40,15.46,2,3
80,Iwo,Łusiak,M,52.075,21.198,25,16.14,3,3
81,Sylwia,Jarmużek,F,52.271,20.918,36,7.64,7,3
82,Radosław,Kobryń,M,52.277,21.038,39,5.76,17,3
83,Sonia,Antoń,F,52.105,21.078,32,8.67,14,3
84,Nicole,Dynia,M,52.102,20.875,26,11.15,14,3
85,Wojciech,Miękina,M,52.167,21.292,30,16.29,6,3
86,Ernest,Kiwior,M,52.173,21.085,29,5.56,18,3
87,Borys,Przystupa,M,52.246,21.156,30,10.1,11,3
88,Rozalia,Bazydło,F,52.134,21.529,29,29.72,3,3
89,Antoni,Dycha,M,52.279,21.18,34,12.93,6,3
90,Klara,Bilik,F,52.083,21.36,21,23.87,12,3
91,Kazimierz,Pabiś,M,52.232,21.209,25,12.09,10,4
92,Radosław,Obuchowicz,M,52.207,21.22,26,11.37,2,4
93,Sonia,Boguś,F,52.281,21.221,39,15.08,20,4
94,Kamila,Wąsek,F,52.044,20.494,32,33.08,17,4
95,Rafał,Frączkiewicz,M,52.147,20.678,21,18.75,8,4
96,Piotr,Łosiewicz,M,52.122,20.991,24,4.35,8,4
97,Agnieszka,Karpiel,F,52.075,21.425,23,27.48,10,4
98,Wojciech,Szyma,M,52.061,20.813,36,16.3,14,4
